26.4,33.8,22.2,1011.5,71,0,1.4,15.4,75.6,05-2016,
26.1,33.2,22.2,1012.6,72,0,1.6,4.6,10.7,05-2016,
26.9,33.6,23,1009,73,3.05,1.9,4.4,10.7,05-2016,
25.9,35.4,17.4,1011.9,40,0,1.3,9.6,18,03-2017,
19.6,31.2,13,1021.1,38,0,1.9,7.2,10.7,03-2017,
16.2,23.6,13,1027.7,44,0,2.1,10.4,14.4,03-2017,
14.8,20.6,13.4,1025.1,80,0,1.3,7.2,18,03-2017,
17.4,24.4,15.6,1019.6,85,20.57,0.8,5,7.2,03-2017,
21.9,30,16.2,1012.1,72,0,1.1,5.9,10.7,03-2017,
23.9,32,15.4,1011.6,69,0,1.1,5.9,10.7,03-2017,
21.7,31.1,18.4,1018.5,84,0,1.1,5.7,7.2,03-2017,
22,26.6,19,1018,82,17.53,1,6.5,10.7,03-2017,
22.3,27.6,18.2,1016.2,73,0,1.3,5,10.7,03-2017,
21.2,29.6,17.8,1015.1,77,9.91,1.3,4.8,7.2,03-2017,
19.9,22.6,17.4,1016.4,84,0,1.4,4.1,7.2,03-2017,
18.8,26.2,14.4,1016.6,81,12.95,1.1,8.1,14.4,03-2017,
17.3,28,14.4,1021.8,80,0,1.3,5.9,10.7,03-2017,
16.9,22,13.8,1020.2,83,0,1.4,4.4,7.2,03-2017,
21.1,26.4,18.2,1019.6,76,0,1,6.3,10.7,03-2017,
21.2,29.2,17.4,1017.1,76,0,1.4,5.4,10.7,03-2017,
22.6,29.4,17.4,1019.5,72,0,1.4,5.9,10.7,03-2017,
22.3,30.2,18.4,1020.5,71,0,1.3,5.9,10.7,03-2017,
24.7,29.8,17.6,1018.5,-,0,1.4,6.3,7.2,03-2017,
24.9,31.2,19.8,1015.6,61,0,1.6,5.4,10.7,03-2017,
23.7,32.4,17.4,1014.1,68,0,1.4,7.8,14.4,03-2017,
22.9,30.8,18,1013.5,69,0,1.4,10.4,21.7,03-2017,
24.2,30.8,19.2,1009.2,67,0.51,1.8,7.2,10.7,03-2017,
26.1,33.4,20.6,1013,53,0,1.4,5.4,10.7,03-2017,
26.7,34.8,19.8,1007,50,0,1.9,8.7,14.4,03-2017,
29.6,34.6,19.8,1006.8,48,0,1.4,7.2,14.4,03-2017,
26.3,34.7,20,1004.1,67,0,1.1,8.3,21.7,03-2017,
25.8,34.3,20,1003.4,50,0,2.1,9.8,21.7,03-2017,
23.9,33,18.4,1010.1,38,0,1.9,7.2,21.7,03-2017,
23.1,31.2,16,1007.5,49,0,2.7,6.1,10.7,03-2017,
21.7,28.6,16.2,1012.6,67,1.27,2.6,3.5,3.5,11-2015,
24.1,29.6,15.6,1014.1,54,1.02,3.7,6.5,18,11-2015,
23.7,31.2,16.4,1012,61,0,1.8,5.4,14.4,11-2015,
24.4,28.9,21,1012.2,72,0,1,5.4,10.7,11-2015,
26.5,30,19.6,1012,75,0,1,4.3,7.2,11-2015,
26.3,30.8,22.6,1012.9,75,0,1,4.8,10.7,11-2015,
23.1,29.6,20.8,1012.9,84,0.25,0.8,5.9,10.7,11-2015,
16.3,22,14,1020.8,87,3.05,0.8,5.4,10.7,11-2015,
16.8,19.8,15,1019,88,0,1,5.4,7.2,11-2015,
19,24,16.8,1016.7,84,0,1,5,7.2,11-2015,
22.9,31.2,18.8,1011.2,78,0,1,4.6,72,11-2015,
23.4,28.2,20.4,1015,53,0,2.4,8.1,18,11-2015,
18.1,21.6,16.8,1021,57,0,1.4,6.3,10.7,11-2015,
15.2,18.6,14,1023.2,96,6.6,0.6,5,10.7,11-2015,
16.9,18.4,14,1020.5,97,6.86,0.5,4.4,7.2,11-2015,
20.6,24.8,18.2,1012.8,90,6.1,0.8,4.4,7.2,11-2015,
22.6,23.6,21.4,1003.2,74,0,1,4.3,7.2,11-2015,
18.9,26.8,14,1009.9,69,0,1.3,6.7,10.7,11-2015,
18.1,26.8,13.4,1014,67,0,1.4,4.1,7.2,11-2015,
20.7,27.2,12.4,1016.1,79,0,1.1,5.4,7.2,11-2015,
20.9,22.6,19.3,1013.2,80,0,1.1,6.3,10.7,11-2015,
14,24,9.8,1023.6,48,0,2.6,6.7,10.7,11-2015,
13.1,18.8,9,1022.9,57,0,2.6,7.8,18,11-2015,
16.7,23,13,1018.9,67,0,1.6,8.1,14.4,11-2015,
19.4,24,17,1014.5,78,0,1.1,4.1,7.2,11-2015,
23.4,27,21.1,1014.1,68,0,1.8,5.4,10.7,11-2015,
22.6,26.4,20.4,1014.4,81,0,1.1,4.6,10.7,11-2015,
16.3,24,10,1016.7,92,4.57,0.6,4.4,10.7,11-2015,
10.6,13.6,9.2,1020.5,94,6.1,0.6,3.5,3.5,11-2015,
12.6,17,10.6,1016.6,89,0,0.5,3.5,3.5,11-2015,
29.6,38.9,24,1014,59,0,1.9,7.2,10.7,08-2016,
29.7,37.8,22,1011.4,54,0,2.1,9.3,18,08-2016,
29.2,38.4,24,1012.8,61,0,2.4,13.9,35.9,08-2016,
29.7,35.4,25.2,1010.5,58,0,2.3,8.1,14.4,08-2016,
31.9,38.6,24,1010.5,50,0,1.8,13.7,21.7,08-2016,
